draft_team,draft_pick,draft_player,draft_amount,player,points,value,pos,team,scoring,rank,tier,pos_rank,bye,best,worst,avg,std_dev,adp,vs_adp,player_join
Noah,40,"Calvin Ridley Atl, WR",25,Calvin Ridley,192,21,WR,Atl,half,38,4,17,10,12,92,41.3,11.9,43,5,Calvin Ridley Atl WR
Christian,41,"Tyreek Hill KC, WR",48,Tyreek Hill,220,33,WR,KC,half,12,2,4,10,5,46,14.1,4.4,10,-2,Tyreek Hill KC WR
Britt,42,"Chris Godwin TB, WR",32,Chris Godwin,209,28,WR,TB,half,19,3,5,13,11,83,19.5,7.6,20,1,Chris Godwin TB WR
Brack,43,"Cam Newton NE, QB",4,Cam Newton,271,4,QB,NE,half,108,8,14,6,47,312,110.9,28.9,153,45,Cam Newton NE QB
Christian,44,"James Conner Pit, RB",33,James Conner,200,35,RB,Pit,half,30,4,16,8,12,88,33.1,11.2,38,8,James Conner Pit RB
Hawker,45,"Tyler Lockett Sea, WR",20,Tyler Lockett,190,20,WR,Sea,half,50,5,21,6,20,128,51,13.5,47,-3,Tyler Lockett Sea WR
Britt,46,"Robbie Gould SF, K",2,Robbie Gould,122,1,K,SF,half,185,10,5,11,98,270,193.1,23.8,154,-31,Robbie Gould SF K
Hawker,47,"Terry McLaurin Wsh, WR",28,Terry McLaurin,177,15,WR,Wsh,half,47,5,19,8,14,101,49.4,15.5,54,7,Terry McLaurin Wsh WR
Chappy,48,"Keenan Allen LAC, WR",16,Keenan Allen,186,19,WR,LAC,half,54,5,24,10,24,190,57.5,18.1,50,-4,Keenan Allen LAC WR
Hawker,49,"Kenny Golladay Det, WR",41,Kenny Golladay,200,25,WR,Det,half,23,3,7,5,11,41,23.4,5.8,25,2,Kenny Golladay Det WR
Jill,50,"David Johnson Hou, RB",35,David Johnson,190,32,RB,Hou,half,41,5,19,8,21,89,41.2,10.6,49,8,David Johnson Hou RB
Mathew,51,"Mark Andrews Bal, TE",14,Mark Andrews,159,18,TE,Bal,half,44,5,3,8,18,64,44.4,8.1,36,-8,Mark Andrews Bal TE
Britt,52,"Robert Woods LAR, WR",25,Robert Woods,198,23,WR,LAR,half,37,4,16,9,16,99,40.3,13.3,55,18,Robert Woods LAR WR
Jordan,53,"DJ Chark Jax, WR",12,D.J. Chark,172,12,WR,Jax,half,48,5,20,7,21,87,49.7,13.2,51,3,D.J. Chark Jax WR
Jill,54,"Cooper Kupp LAR, WR",25,Cooper Kupp,195,23,WR,LAR,half,39,5,18,9,16,104,42.6,12.9,39,0,Cooper Kupp LAR WR
Jordan,55,"Dak Prescott Dal, QB",13,Dak Prescott,320,18,QB,Dal,half,53,5,3,10,8,92,56.1,10.4,48,-5,Dak Prescott Dal QB
Jesse,56,"DJ Moore Car, WR",29,D.J. Moore,198,24,WR,Car,half,29,4,10,13,10,96,32.6,11.2,34,5,D.J. Moore Car WR
Noah,57,"Leonard Fournette TB, RB",27,Leonard Fournette,136,12,RB,TB,half,46,5,22,13,10,69,49.3,12.7,42,-4,Leonard Fournette TB RB
Jordan,58,"Todd Gurley Atl, RB",31,Todd Gurley,196,34,RB,Atl,half,33,4,17,10,7,108,35.5,12.2,30,-3,Todd Gurley Atl RB
Jill,59,"Tom Brady TB, QB",8,Tom Brady,276,6,QB,TB,half,89,7,11,13,19,158,93.1,19.2,84,-5,Tom Brady TB QB
Jesse,60,"Cam Akers LAR, RB",11,Cam Akers,148,17,RB,LAR,half,57,6,25,9,24,303,57.1,26,65,8,Cam Akers LAR RB
Jordan,61,"Darren Waller LV, TE",11,Darren Waller,153,16,TE,LV,half,56,5,5,6,33,146,59.6,14.6,57,1,Darren Waller LV TE
Eric,62,"Odell Beckham Cle, WR",20,Odell Beckham Jr.,184,18,WR,Cle,half,34,4,13,9,16,104,36.5,12.2,28,-6,Odell Beckham Jr. Cle WR
Mathew,63,"TY Hilton Ind, WR",14,T.Y. Hilton,175,14,WR,Ind,half,64,6,27,7,13,120,68.8,15.2,61,-3,T.Y. Hilton Ind WR
