draft_team,draft_pick,draft_player,draft_amount,player,points,value,pos,team,scoring,rank,tier,pos_rank,bye,best,worst,avg,std_dev,adp,vs_adp,player_join
Noah,101,"Bills D/ST Buf, D/ST",2,Buffalo Bills,107,1,D/ST,Buf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buffalo Bills Buf D/ST
Noah,102,"Noah Fant Den, TE",2,Noah Fant,117,4,TE,Den,half,118,8,15,8,47,192,121.1,22.6,111,-7,Noah Fant Den TE
Christian,103,"Marvin Jones Det, WR",3,Marvin Jones,155,7,WR,Det,half,80,7,35,5,56,162,89.5,17.7,88,8,Marvin Jones Det WR
Eric,104,"David Montgomery Chi, RB",5,David Montgomery,136,12,RB,Chi,half,65,6,27,11,34,142,64.9,18.5,66,1,David Montgomery Chi RB
Britt,105,"Bears D/ST Chi, D/ST",2,Chicago Bears,97,0,D/ST,Chi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chicago Bears Chi D/ST
Eric,106,"Alexander Mattison Min, RB",7,Alexander Mattison,88,3,RB,Min,half,137,9,47,7,77,245,130.6,32.9,131,-6,Alexander Mattison Min RB
Chappy,107,"Ryan Tannehill Ten, QB",1,Ryan Tannehill,259,2,QB,Ten,half,129,8,19,7,57,199,132,23.1,142,13,Ryan Tannehill Ten QB
Miles,108,"D'Andre Swift Det, RB",6,D'Andre Swift,122,9,RB,Det,half,67,6,29,5,33,256,69.6,24.3,64,-3,D'Andre Swift Det RB
Jill,109,"Tyler Higbee LAR, TE",4,Tyler Higbee,129,8,TE,LAR,half,83,7,8,9,43,163,84.7,22.5,67,-16,Tyler Higbee LAR TE
Jill,110,"Matt Prater Det, K",1,Matt Prater,113,1,K,Det,half,196,10,6,5,100,319,204.5,27.8,166,-30,Matt Prater Det K
Noah,111,"Tarik Cohen Chi, RB",3,Tarik Cohen,141,14,RB,Chi,half,94,7,36,11,45,220,90,28.6,109,15,Tarik Cohen Chi RB
Jesse,112,"Deebo Samuel SF, WR",5,Deebo Samuel,141,3,WR,SF,half,100,7,40,11,45,174,107,24.8,82,-18,Deebo Samuel SF WR
Hawker,113,"Jalen Richard LV, RB",1,Jalen Richard,83,3,RB,LV,half,242,11,69,6,103,337,216.5,40.7,263,21,Jalen Richard LV RB
Mathew,114,"Hayden Hurst Atl, TE",3,Hayden Hurst,120,5,TE,Atl,half,86,7,9,10,42,232,92.7,25.3,110,24,Hayden Hurst Atl TE
Miles,115,"Diontae Johnson Pit, WR",4,Diontae Johnson,151,6,WR,Pit,half,91,7,36,8,49,234,104.1,25.2,105,14,Diontae Johnson Pit WR
Eric,116,"Chris Boswell Pit, K",1,Chris Boswell,111,0,K,Pit,half,233,11,15,8,70,286,240.5,33.8,295,62,Chris Boswell Pit K
Christian,117,"Jake Elliott Phi, K",1,Jake Elliott,112,1,K,Phi,half,203,10,8,9,126,261,210,26.3,256,53,Jake Elliott Phi K
Noah,118,"Phillip Lindsay Den, RB",4,Phillip Lindsay,129,11,RB,Den,half,93,7,35,8,52,200,89.8,21.9,95,2,Phillip Lindsay Den RB
Chappy,119,"Daniel Jones NYG, QB",1,Daniel Jones,253,1,QB,NYG,half,110,8,15,11,48,252,116,24.7,127,17,Daniel Jones NYG QB
Miles,120,"Josh Allen Buf, QB",1,Josh Allen,298,12,QB,Buf,half,73,6,7,11,14,157,77.9,15.2,69,-4,Josh Allen Buf QB
Britt,121,"Ronald Jones TB, RB",3,Ronald Jones II,132,11,RB,TB,half,97,7,37,13,52,231,95.5,29.1,86,-11,Ronald Jones II TB RB
Chappy,122,"Zack Moss Buf, RB",2,Zack Moss,114,7,RB,Buf,half,88,7,34,11,35,322,93.9,34.4,118,30,Zack Moss Buf RB
Jesse,123,"Jamison Crowder NYJ, WR",3,Jamison Crowder,158,8,WR,NYJ,half,95,7,38,11,58,253,105.5,28.2,108,13,Jamison Crowder NYJ WR
